et,cal
-479625952014.28955,13200 B.C. APR 05 04:53:05.710
-479594395045.5542,13199 B.C. APR 05 10:42:34.445
-479562838857.2274,13198 B.C. APR 05 16:19:02.772
-479531282330.30475,13197 B.C. APR 04 22:01:09.695
-479499725525.7719,13196 B.C. APR 05 03:47:54.228
-479468169051.3874,13195 B.C. APR 05 09:29:08.612
-479436612364.50635,13194 B.C. APR 05 15:13:55.493
-479405055757.47687,13193 B.C. APR 04 20:57:22.523
-479373499227.8723,13192 B.C. APR 05 02:39:32.127
-479341941982.6632,13191 B.C. APR 05 08:33:37.336
-479310385117.0125,13190 B.C. APR 05 14:21:22.987
-479278828437.79724,13189 B.C. APR 04 20:06:02.202
-479247271322.8554,13188 B.C. APR 05 01:57:57.144
-479215714883.7852,13187 B.C. APR 05 07:38:36.214
-479184158310.33026,13186 B.C. APR 05 13:21:29.669
-479152601559.7346,13185 B.C. APR 04 19:07:20.265
-479121045263.6506,13184 B.C. APR 05 00:45:36.349
-479089488239.619,13183 B.C. APR 05 06:36:00.380
-479057931825.8346,13182 B.C. APR 05 12:16:14.165
-479026375663.9689,13181 B.C. APR 04 17:52:16.031
-478994818699.7497,13180 B.C. APR 04 23:41:40.250
-478963262260.2246,13179 B.C. APR 05 05:22:19.775
-478931705509.01447,13178 B.C. APR 05 11:08:10.985
-478900148618.9478,13177 B.C. APR 04 16:56:21.052
-478868592280.84,13176 B.C. APR 04 22:35:19.159
-478837035274.84076,13175 B.C. APR 05 04:25:25.159
-478805478634.00134,13174 B.C. APR 05 10:09:25.998
-478773922214.8387,13173 B.C. APR 04 15:49:45.161
-478742364988.12195,13172 B.C. APR 04 21:43:31.878
-478710808333.3336,13171 B.C. APR 05 03:27:46.666
-478679251852.3505,13170 B.C. APR 05 09:09:07.649
-478647694866.47955,13169 B.C. APR 04 14:58:53.520
-478616138576.7012,13168 B.C. APR 04 20:37:03.298
-478584581416.975,13167 B.C. APR 05 02:29:43.025
-478553024550.967,13166 B.C. APR 05 08:17:29.033
-478521468358.2031,13165 B.C. APR 04 13:54:01.796
-478489911280.1896,13164 B.C. APR 04 19:45:19.810
-478458354989.2783,13163 B.C. APR 05 01:23:30.721
-478426798752.33215,13162 B.C. APR 05 07:00:47.667
-478395241823.2108,13161 B.C. APR 04 12:49:36.789
-478363685635.4287,13160 B.C. APR 04 18:26:04.571
-478332128745.39197,13159 B.C. APR 05 00:14:14.608
-478300572071.2849,13158 B.C. APR 05 05:58:48.715
-478269015892.4992,13157 B.C. APR 04 11:35:07.500
-478237458713.2556,13156 B.C. APR 04 17:28:06.744
-478205901825.88605,13155 B.C. APR 04 23:16:14.113
-478174345187.21497,13154 B.C. APR 05 05:00:12.785
-478142787961.6405,13153 B.C. APR 04 10:53:58.359
-478111231456.58203,13152 B.C. APR 04 16:35:43.417
-478079674762.5123,13151 B.C. APR 04 22:20:37.487
-478048117779.368,13150 B.C. APR 05 04:10:20.632
-478016561635.5979,13149 B.C. APR 04 09:46:04.402
-477985004616.2275,13148 B.C. APR 04 15:36:23.772
-477953447926.66974,13147 B.C. APR 04 21:21:13.330
-477921891939.6961,13146 B.C. APR 05 02:54:20.303
-477890334943.3721,13145 B.C. APR 04 08:44:16.627
-477858778666.26654,13144 B.C. APR 04 14:22:13.733
-477827221898.3079,13143 B.C. APR 04 20:08:21.692
-477795664796.9955,13142 B.C. APR 05 02:00:03.004
-477764108669.4509,13141 B.C. APR 04 07:35:30.549
-477732551702.6831,13140 B.C. APR 04 13:24:57.316
-477700995028.5674,13139 B.C. APR 04 19:09:31.432
-477669438816.3162,13138 B.C. APR 05 00:46:23.683
-477637881656.2973,13137 B.C. APR 04 06:39:03.702
-477606325102.36017,13136 B.C. APR 04 12:21:37.639
-477574768351.1382,13135 B.C. APR 04 18:07:28.861
-477543211363.5404,13134 B.C. APR 04 23:57:16.459
-477511655076.88074,13133 B.C. APR 04 05:35:23.119
-477480098110.36096,13132 B.C. APR 04 11:24:49.639
-477448540966.7734,13131 B.C. APR 04 17:17:13.226
-477416984662.715,13130 B.C. APR 04 22:55:37.284
-477385427647.3413,13129 B.C. APR 04 04:45:52.658
-477353871164.3431,13128 B.C. APR 04 10:27:15.656
-477322314889.503,13127 B.C. APR 04 16:05:10.497
-477290757901.7109,13126 B.C. APR 04 21:54:58.289
-477259201757.53613,13125 B.C. APR 04 03:30:42.463
-477227645039.8043,13124 B.C. APR 04 09:16:00.195
-477196088171.24976,13123 B.C. APR 04 15:03:48.750
-477164532172.61945,13122 B.C. APR 04 20:37:07.380
-477132975268.35925,13121 B.C. APR 04 02:25:31.640
-477101418509.1667,13120 B.C. APR 04 08:11:30.833
-477069861824.0291,13119 B.C. APR 04 13:56:15.970
-477038304558.3979,13118 B.C. APR 04 19:50:41.602
-477006748072.11,13117 B.C. APR 04 01:32:07.890
-476975191324.35284,13116 B.C. APR 04 07:17:55.647
-476943634309.1179,13115 B.C. APR 04 13:08:10.882
-476912078016.11206,13114 B.C. APR 04 18:46:23.887
-476880521143.4191,13113 B.C. APR 04 00:34:16.580
-476848964319.1007,13112 B.C. APR 04 06:21:20.899
-476817407990.7217,13111 B.C. APR 04 12:00:09.278
-476785851111.22314,13110 B.C. APR 04 17:48:08.776
-476754294732.07947,13109 B.C. APR 03 23:27:47.920
-476722738135.78235,13108 B.C. APR 04 05:11:04.217
-476691180944.0855,13107 B.C. APR 04 11:04:15.914
-476659624723.4412,13106 B.C. APR 04 16:41:16.558
-476628068004.8749,13105 B.C. APR 03 22:26:35.125
-476596511385.3011,13104 B.C. APR 04 04:10:14.698
-476564955075.5805,13103 B.C. APR 04 09:48:44.419
-476533398161.6477,13102 B.C. APR 04 15:37:18.352
