

*******************************************************************************
Ephemeris / WWW_USER Fri Feb  3 11:58:09 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : B.C. 9998-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 9999-Jan-01 00:00:00.0000 UT      
Step-size       : 1 calendar year
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun (R_eq= 696000.000) km
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : BOTH
EOP file        : eop.230201.p230427                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-FEB-01. PREDICTS-> 2023-APR-26
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
 Date__(UT)__HR:MN:SS, Date_________JDUT, , ,       TDB-UT,
***********************************************************
$$SOE
b9998-Jan-01 00:00:00, -1930346.50000000, , , 439746.00491,
b9997-Jan-01 00:00:00, -1929981.50000000, , , 439671.67813,
b9996-Jan-01 00:00:00, -1929615.50000000, , , 439597.15403,
b9995-Jan-01 00:00:00, -1929250.50000000, , , 439522.83984,
b9994-Jan-01 00:00:00, -1928885.50000000, , , 439448.53193,
b9993-Jan-01 00:00:00, -1928520.50000000, , , 439374.23030,
b9992-Jan-01 00:00:00, -1928154.50000000, , , 439299.73142,
b9991-Jan-01 00:00:00, -1927789.50000000, , , 439225.44237,
b9990-Jan-01 00:00:00, -1927424.50000000, , , 439151.15961,
b9989-Jan-01 00:00:00, -1927059.50000000, , , 439076.88313,
b9988-Jan-01 00:00:00, -1926693.50000000, , , 439002.40947,
b9987-Jan-01 00:00:00, -1926328.50000000, , , 438928.14557,
b9986-Jan-01 00:00:00, -1925963.50000000, , , 438853.88796,
b9985-Jan-01 00:00:00, -1925598.50000000, , , 438779.63663,
b9984-Jan-01 00:00:00, -1925232.50000000, , , 438705.18818,
b9983-Jan-01 00:00:00, -1924867.50000000, , , 438630.94943,
b9982-Jan-01 00:00:00, -1924502.50000000, , , 438556.71697,
b9981-Jan-01 00:00:00, -1924137.50000000, , , 438482.49079,
b9980-Jan-01 00:00:00, -1923771.50000000, , , 438408.06756,
b9979-Jan-01 00:00:00, -1923406.50000000, , , 438333.85396,
b9978-Jan-01 00:00:00, -1923041.50000000, , , 438259.64664,
b9977-Jan-01 00:00:00, -1922676.50000000, , , 438185.44561,
b9976-Jan-01 00:00:00, -1922310.50000000, , , 438111.04760,
b9975-Jan-01 00:00:00, -1921945.50000000, , , 438036.85915,
b9974-Jan-01 00:00:00, -1921580.50000000, , , 437962.67698,
